Order_id;Order_type;Sub_department;mean_time;Difficulty_level;Perform_peoples;Hull_number;Floor;Execution_date
0;OS;Telecommunications_department;10;4;3;8;2;2021-05-11
1;Laying the network;Telecommunications_department;10;1;3;12;7;2021-12-05
2;Installing software;Information Resources Department;10;2;2;5;9;2021-05-15
3;Installing software;Telecommunications_department;10;2;2;11;5;2021-06-04
4;Mail;technical_department;10;5;2;12;1;2021-11-05
5;Laying the network;technical_department;10;4;3;6;5;2021-05-22
6;Antivirus;technical_department;10;3;2;3;5;2021-10-18
7;Mail;Information Resources Department;10;5;3;11;8;2021-10-27
8;Accounts;Information Resources Department;10;5;3;2;3;2021-03-20
9;PC hardware replacement;technical_department;10;1;1;11;5;2021-09-21
10;Antivirus;Telecommunications_department;10;2;3;11;4;2021-02-06
11;OS;Telecommunications_department;10;2;2;9;6;2021-02-04
12;Role system;Information Resources Department;10;5;2;4;9;2021-06-15
13;Office equipment;Telecommunications_department;10;3;3;3;1;2021-12-07
14;Installing software;Information Resources Department;10;2;2;5;7;2021-04-12
15;OS;technical_department;10;4;1;6;7;2021-03-30
16;OS;Information Resources Department;10;3;2;3;8;2021-07-28
17;PC hardware replacement;Information Resources Department;10;4;1;5;8;2021-01-07
18;OS;Telecommunications_department;10;5;3;10;4;2021-05-02
19;Accounts;technical_department;10;4;2;2;3;2021-04-07
20;OS;Information Resources Department;10;1;3;1;3;2021-07-25
21;Laying the network;technical_department;10;5;2;6;1;2021-12-23
22;PC hardware replacement;technical_department;10;3;2;1;4;2021-04-06
23;PC hardware replacement;technical_department;10;5;1;8;2;2021-03-01
24;Accounts;technical_department;10;4;2;10;9;2021-06-06
25;Internet;Information Resources Department;10;5;2;5;6;2021-10-24
26;Internet;technical_department;10;5;2;3;8;2021-01-24
27;Installing software;technical_department;10;4;1;12;4;2021-12-07
28;OS;Telecommunications_department;10;1;3;5;1;2021-03-04
29;Office equipment;Telecommunications_department;10;4;2;3;6;2021-07-10
30;Role system;Information Resources Department;10;2;2;3;6;2021-09-28
31;Internet;Telecommunications_department;10;3;2;3;1;2021-07-31
32;PC hardware replacement;technical_department;10;2;1;11;6;2021-10-14
33;Role system;technical_department;10;2;1;11;9;2021-02-09
34;Antivirus;technical_department;10;3;1;2;8;2021-04-19
35;Role system;Information Resources Department;10;2;2;4;1;2021-02-08
36;Role system;Information Resources Department;10;3;1;3;4;2021-04-12
37;Internet;technical_department;10;5;1;6;6;2021-07-27
